종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","81500","300","0.37","4.86537278E8"
"000660","SK하이닉스","233500","0","0.00","1.69988552E8"
"373220","LG에너지솔루션","341500","-1500","-0.44","7.9911E7"
"005380","현대차","285000","-1500","-0.52","5.9683614E7"
"207940","삼성바이오로직스","750000","-5000","-0.66","5.33805E7"
"000270","기아","130500","-1800","-1.36","5.2181523E7"
"068270","셀트리온","181900","-1500","-0.82","3.9471067E7"
"105560","KB금융","79900","1000","1.27","3.2240535E7"
"005490","POSCO홀딩스","371000","-2000","-0.54","3.1375926E7"
"035420","NAVER","167300","-600","-0.36","2.7170958E7"
"006400","삼성SDI","391000","-1500","-0.38","2.6886931E7"
"051910","LG화학","362000","2500","0.70","2.5554428E7"
"028260","삼성물산","135400","0","0.00","2.4071968E7"
"055550","신한지주","47050","700","1.51","2.3966951E7"
"012330","현대모비스","238000","-4000","-1.65","2.2132832E7"
"003670","포스코퓨처엠","264500","-3000","-1.12","2.0489022E7"
"035720","카카오","42700","-100","-0.23","1.8932978E7"
"066570","LG전자","107500","-500","-0.46","1.759214E7"
"032830","삼성생명","87600","200","0.23","1.752E7"
"042700","한미반도체","178500","1500","0.85","1.7313364E7"
"086790","하나금융지주","59300","300","0.51","1.7336746E7"
"000810","삼성화재","352500","8000","2.32","1.669963E7"
"138040","메리츠금융지주","77700","1000","1.30","1.4818953E7"
"259960","크래프톤","290500","500","0.17","1.3911523E7"
"011200","HMM","19370","860","4.65","1.3734095E7"
"034020","두산에너빌리티","20700","-450","-2.13","1.3259616E7"
"402340","SK스퀘어","95400","-3100","-3.15","1.2855146E7"
"003550","LG","81200","-500","-0.61","1.2772841E7"
"015760","한국전력","20150","50","0.25","1.2935576E7"
"012450","한화에어로스페이스","247000","-4000","-1.59","1.250561E7"
"329180","HD현대중공업","140000","1200","0.86","1.2428236E7"
"018260","삼성에스디에스","153100","1800","1.19","1.1846541E7"
"034730","SK","157900","-9200","-5.51","1.1448177E7"
"096770","SK이노베이션","119700","15000","14.33","1.145955E7"
"033780","KT&G","86700","300","0.35","1.129896E7"
"009150","삼성전기","151900","-100","-0.07","1.1345972E7"
"017670","SK텔레콤","51200","0","0.00","1.0997251E7"
"024110","기업은행","13450","60","0.45","1.0725378E7"
